,b,angle,x/z,T_max
1524,0.4,-0.0742922341430227,-1.2226039089000897,4.240000000000003
1525,0.4,-0.09244331397622403,-1.230762183491185,4.250000000000003
1526,0.4,-0.11047299598765128,-1.238684560236602,4.260000000000003
1527,0.4,-0.1283861205484198,-1.2463667267534453,4.270000000000003
1528,0.4,-0.14618744054715685,-1.253804729301373,4.280000000000003
1529,0.4,-0.1638816219400179,-1.260994970136919,4.290000000000003
1530,0.4,-0.18147324447636407,-1.2679342041222372,4.3000000000000025
1531,0.4,-0.19896680257777186,-1.27461953462363,4.310000000000003
1532,0.4,-0.2163667063506278,-1.2810484087368132,4.320000000000003
1533,0.4,-0.23367728271375265,-1.2872186118772215,4.330000000000003
1534,0.4,-0.2509027766247048,-1.293128261774767,4.340000000000003
1535,0.4,-0.26804735238958177,-1.2987758019133242,4.350000000000003
1536,0.4,-0.2851150950427047,-1.3041599944558537,4.360000000000003
1537,0.4,-0.30211001178409547,-1.3092799126964634,4.370000000000003
1538,0.4,-0.31903603346353515,-1.314134933080886,4.380000000000003
1539,0.4,-0.3358970161012079,-1.3187247268368054,4.390000000000003
1540,0.4,-0.3526967424363251,-1.3230492512552097,4.400000000000003
1541,0.4,-0.369438923495413,-1.3271087406635094,4.410000000000003
1542,0.4,-0.38612720017328106,-1.3309036971305277,4.4200000000000035
1543,0.4,-0.40276514482056647,-1.3344348809426676,4.430000000000003
1544,0.4,-0.41935626283183586,-1.3377033008896186,4.440000000000003
1545,0.4,-0.43590399422964216,-1.3407102043968566,4.450000000000003
1546,0.4,-0.45241171523996965,-1.3434570675409825,4.460000000000003
1547,0.4,-0.4688827398554468,-1.3459455849826003,4.470000000000003
1548,0.4,-0.4853203213826278,-1.3481776598500157,4.480000000000003
1549,0.4,-0.5017276539708825,-1.3501553936055128,4.490000000000003
1550,0.4,-0.5181078741201425,-1.3518810759243893,4.5000000000000036
1551,0.4,-0.5344640621654366,-1.3533571746152964,4.510000000000003
1552,0.4,-0.5507992437362801,-1.3545863256087474,4.520000000000003
1553,0.4,-0.5671163911897226,-1.3555713230389523,4.530000000000003
1554,0.4,-0.5834184250154948,-1.3563151094424162,4.540000000000003
1555,0.4,-0.5997082152123838,-1.3568207660950036,4.550000000000003
1556,0.4,-0.6159885826350566,-1.3570915035074589,4.560000000000003
1557,0.4,-0.6322623003106298,-1.3571306520976478,4.570000000000003
1558,0.4,-0.6485320947246467,-1.3569416530561182,4.580000000000004
1559,0.4,-0.6648006470762523,-1.3565280494199075,4.590000000000003
1560,0.4,-0.6810705945020991,-1.3558934773679274,4.600000000000003
1561,0.4,-0.6973445312694581,-1.3550416577496736,4.610000000000003
1562,0.4,-0.713625009938046,-1.3539763878575002,4.620000000000003
1563,0.4,-0.7299145424913424,-1.3527015334512345,4.6300000000000034
1564,0.4,-0.746215601437203,-1.3512210210425017,4.640000000000003
1565,0.4,-0.7625306208782918,-1.3495388304448033,4.650000000000003
1566,0.4,-0.7788619975527685,-1.3476589875941034,4.660000000000004
1567,0.4,-0.7952120918456576,-1.34558555764349,4.6700000000000035
1568,0.4,-0.8115832287713801,-1.3433226383343293,4.680000000000003
1569,0.4,-0.8279776989280628,-1.3408743536452745,4.690000000000003
1570,0.4,-0.8443977594241443,-1.3382448477194928,4.700000000000003
1571,0.4,-0.8608456347780538,-1.335438279069547,4.7100000000000035
1572,0.4,-0.8773235177914929,-1.3324588150585153,4.720000000000003
1573,0.4,-0.8938335703970276,-1.3293106266551467,4.730000000000003
1574,0.4,-0.9103779244807887,-1.325997883460123,4.740000000000004
1575,0.4,-0.9269586826808903,-1.322524748999852,4.7500000000000036
1576,0.4,-0.9435779191623127,-1.318895376283618,4.760000000000003
1577,0.4,-0.9602376803692325,-1.3151139036193868,4.770000000000003
1578,0.4,-0.9769399857552177,-1.3111844506830983,4.780000000000003
1579,0.4,-0.993686828492326,-1.3071111148358483,4.790000000000004
1580,0.4,-1.0104801761597726,-1.3028979676830224,4.800000000000003
1581,0.4,-1.027321971413135,-1.298549051869115,4.810000000000003
1582,0.4,-1.0442141326344718,-1.2940683781017188,4.820000000000004
1583,0.4,-1.0611585545648343,-1.2894599223979462,4.830000000000004
1584,0.4,-1.0781571089192705,-1.2847276235463778,4.840000000000003
1585,0.4,-1.0952116449856402,-1.279875380777499,4.850000000000003
1586,0.4,-1.1123239902079005,-1.2749070516354861,4.860000000000003
1587,0.4,-1.1294959507545288,-1.269826450044154,4.870000000000004
1588,0.4,-1.1467293120731923,-1.2646373445598391,4.8800000000000034
1589,0.4,-1.1640258394322716,-1.2593434568039992,4.890000000000003
1590,0.4,-1.181387278450156,-1.2539484600683404,4.900000000000004
1591,0.4,-1.1988153556130914,-1.2484559780853357,4.910000000000004
1592,0.4,-1.2163117787825535,-1.2428695839570703,4.9200000000000035
1593,0.4,-1.2338782376927018,-1.2371927992354563,4.930000000000003
1594,0.4,-1.2515164044391216,-1.2314290931469638,4.940000000000003
1595,0.4,-1.2692279339592882,-1.2255818819551516,4.950000000000004
1596,0.4,-1.2870144645060242,-1.2196545284544273,4.9600000000000035
1597,0.4,-1.3048776181143324,-1.2136503415886204,4.970000000000003
1598,0.4,-1.3228190010628407,-1.2075725761881217,4.980000000000004
1599,0.4,-1.340840204330465,-1.201424432819526,4.990000000000004
1600,0.5,-0.560214383794245,-3.676733343472838,1.0
1601,0.5,-0.5671751473283381,-3.6339286088050793,1.01
1602,0.5,-0.5741774271291615,-3.5919038867557136,1.02
1603,0.5,-0.5812217119279713,-3.550636574157587,1.03
1604,0.5,-0.5883084924395605,-3.5101049378981153,1.04
1605,0.5,-0.5954382613675395,-3.4702880734943378,1.05
1606,0.5,-0.6026115134090814,-3.4311658660125284,1.06
1607,0.5,-0.6098287452591429,-3.392718953179022,1.07
1608,0.5,-0.6170904556140738,-3.354928690540289,1.08
1609,0.5,-0.624397145174804,-3.317777118540695,1.09
1610,0.5,-0.6317493166493122,-3.2812469313959522,1.1
1611,0.5,-0.6391474747546217,-3.2453214476490624,1.11
1612,0.5,-0.6465921262181112,-3.2099845823036417,1.12
1613,0.5,-0.6540837797784487,-3.1752208204369268,1.1300000000000001
1614,0.5,-0.6616229461856489,-3.141015192201664,1.1400000000000001
1615,0.5,-0.669210138200776,-3.107353249132358,1.1500000000000001
1616,0.5,-0.6768458705949119,-3.074221041677207,1.1600000000000001
1617,0.5,-0.6845306601475,-3.0416050978824196,1.1700000000000002
1618,0.5,-0.6922650256442393,-3.0094924031605834,1.1800000000000002
1619,0.5,-0.7000494878741429,-2.9778703810793448,1.1900000000000002
1620,0.5,-0.707884569626143,-2.946726875110915,1.2000000000000002
1621,0.5,-0.7157707956849635,-2.9160501312868368,1.2100000000000002
1622,0.5,-0.723708692826479,-2.8858287817061026,1.2200000000000002
1623,0.5,-0.7316987898123272,-2.856051828848089,1.2300000000000002
1624,0.5,-0.7397416173839905,-2.8267086306448923,1.2400000000000002
1625,0.5,-0.7478377082561938,-2.7977888862705744,1.2500000000000002
1626,0.5,-0.7559875971097113,-2.7692826226075096,1.2600000000000002
1627,0.5,-0.7641918205835436,-2.7411801813525414,1.2700000000000002
1628,0.5,-0.7724509172664574,-2.7134722067279866,1.2800000000000002
1629,0.5,-0.780765427687958,-2.6861496337646873,1.2900000000000003
1630,0.5,-0.7891358943085419,-2.65920367712634,1.3000000000000003
